"product_name","launch_cohort","total_sales","total_claims","claim_ratio"
"Apple Watch Series 9","The First 30 Days","180","5","2.78"
"Apple Watch Ultra","The First 30 Days","177","0","0.00"
"Beats Fit Pro","After 3 Months","3953","100","2.53"
"Beats Fit Pro","The First 30 Days","190","5","2.63"
"Beats Powerbeats Pro","After 3 Months","8711","228","2.62"
"Beats Powerbeats Pro","The First 30 Days","184","4","2.17"
"Beats Solo Pro","After 3 Months","1096","5","0.46"
"Beats Solo Pro","The First 30 Days","212","5","2.36"
"Beats Studio Buds","After 3 Months","620","2","0.32"
"Beats Studio Buds","The First 30 Days","205","4","1.95"
"HomePod","After 3 Months","9774","279","2.85"
"HomePod","The First 30 Days","176","5","2.84"
"HomePod (2nd Generation)","After 3 Months","9220","256","2.78"
"HomePod (2nd Generation)","The First 30 Days","229","10","4.37"
"HomePod mini","After 3 Months","8465","192","2.27"
"HomePod mini","The First 30 Days","393","11","2.80"
"iCloud","After 3 Months","8572","207","2.41"
"iCloud","The First 30 Days","206","5","2.43"
"iMac 24-inch","After 3 Months","8116","174","2.14"
"iMac 24-inch","The First 30 Days","224","10","4.46"
"iMac 27-inch","After 3 Months","5394","140","2.60"
"iMac 27-inch","The First 30 Days","200","5","2.50"
"iMac Pro","After 3 Months","7041","156","2.22"
"iMac Pro","The First 30 Days","197","4","2.03"
"iMac with Retina Display","After 3 Months","9924","235","2.37"
"iMac with Retina Display","The First 30 Days","199","6","3.02"
"iPad (10th Generation)","After 3 Months","7851","195","2.48"
"iPad (10th Generation)","The First 30 Days","182","4","2.20"
"iPad (9th Generation)","After 3 Months","5905","125","2.12"
"iPad (9th Generation)","The First 30 Days","227","5","2.20"
"iPad Air (4th Generation)","After 3 Months","7989","204","2.55"
"iPad Air (4th Generation)","The First 30 Days","193","5","2.59"
"iPad Air (5th Generation)","After 3 Months","8264","190","2.30"
"iPad Air (5th Generation)","The First 30 Days","203","6","2.96"
"iPad mini (5th Generation)","After 3 Months","3801","83","2.18"
"iPad mini (5th Generation)","The First 30 Days","198","7","3.54"
"iPad mini (6th Generation)","After 3 Months","4084","80","1.96"
"iPad mini (6th Generation)","The First 30 Days","200","6","3.00"
"iPad Pro (M1)","After 3 Months","9399","271","2.88"
"iPad Pro (M1)","The First 30 Days","202","5","2.48"
"iPad Pro (M2)","After 3 Months","7027","178","2.53"
"iPad Pro (M2)","The First 30 Days","190","6","3.16"
"iPad Pro 11-inch","After 3 Months","3056","47","1.54"
"iPad Pro 11-inch","The First 30 Days","199","6","3.02"
"iPad Pro 12.9-inch","After 3 Months","1879","19","1.01"
"iPad Pro 12.9-inch","The First 30 Days","189","8","4.23"
"iPhone 12","After 3 Months","10534","268","2.54"
"iPhone 12","The First 30 Days","183","5","2.73"
"iPhone 12 mini","After 3 Months","9058","220","2.43"
"iPhone 12 mini","The First 30 Days","212","8","3.77"
"iPhone 12 Pro","After 3 Months","72","0","0.00"
"iPhone 12 Pro","The First 30 Days","216","2","0.93"
"iPhone 12 Pro Max","After 3 Months","9507","246","2.59"
"iPhone 12 Pro Max","The First 30 Days","231","4","1.73"
"iPhone 13","After 3 Months","2897","47","1.62"
"iPhone 13","The First 30 Days","217","12","5.53"
"iPhone 13 mini","After 3 Months","7509","200","2.66"
"iPhone 13 mini","The First 30 Days","205","7","3.41"
"iPhone 13 Pro","After 3 Months","8013","230","2.87"
"iPhone 13 Pro","The First 30 Days","191","6","3.14"
"iPhone 13 Pro Max","After 3 Months","593","4","0.67"
"iPhone 13 Pro Max","The First 30 Days","205","3","1.46"
"iPhone 14","After 3 Months","7575","196","2.59"
"iPhone 14","The First 30 Days","216","8","3.70"
"iPhone 14 Plus","After 3 Months","2284","40","1.75"
"iPhone 14 Plus","The First 30 Days","217","7","3.23"
"iPhone 14 Pro","After 3 Months","6241","150","2.40"
"iPhone 14 Pro","The First 30 Days","223","5","2.24"
"iPhone 14 Pro Max","The First 30 Days","207","0","0.00"
"iPhone SE (3rd Generation)","After 3 Months","4146","89","2.15"
"iPhone SE (3rd Generation)","The First 30 Days","199","8","4.02"
"Leather Case for iPhone","After 3 Months","5290","132","2.50"
"Leather Case for iPhone","The First 30 Days","220","5","2.27"
"Lightning to USB Cable","After 3 Months","1466","20","1.36"
"Lightning to USB Cable","The First 30 Days","210","5","2.38"
"Mac Mini","After 3 Months","9392","259","2.76"
"Mac Mini","The First 30 Days","203","4","1.97"
"Mac Mini (M2)","After 3 Months","6739","176","2.61"
"Mac Mini (M2)","The First 30 Days","198","6","3.03"
"Mac Pro (2023)","After 3 Months","2621","32","1.22"
"Mac Pro (2023)","The First 30 Days","196","4","2.04"
"Mac Pro (Rack)","After 3 Months","5233","121","2.31"
"Mac Pro (Rack)","The First 30 Days","193","8","4.15"
"Mac Pro (Tower)","After 3 Months","4176","94","2.25"
"Mac Pro (Tower)","The First 30 Days","220","5","2.27"
"Mac Studio","After 3 Months","1206","14","1.16"
"Mac Studio","The First 30 Days","214","4","1.87"
"MacBook","After 3 Months","2229","45","2.02"
"MacBook","The First 30 Days","205","5","2.44"
"MacBook (Early 2015)","After 3 Months","4116","99","2.41"
"MacBook (Early 2015)","The First 30 Days","218","1","0.46"
"MacBook (Retina)","After 3 Months","1982","22","1.11"
"MacBook (Retina)","The First 30 Days","200","5","2.50"
"MacBook Air (M1)","After 3 Months","1776","19","1.07"
"MacBook Air (M1)","The First 30 Days","185","2","1.08"
"MacBook Air (M2)","After 3 Months","9980","239","2.39"
"MacBook Air (M2)","The First 30 Days","197","4","2.03"
"MacBook Air (Retina)","After 3 Months","10967","291","2.65"
"MacBook Air (Retina)","The First 30 Days","205","4","1.95"
"MacBook Pro (Touch Bar)","After 3 Months","366","0","0.00"
"MacBook Pro (Touch Bar)","The First 30 Days","186","2","1.08"
"MacBook Pro 13-inch","After 3 Months","8501","204","2.40"
"MacBook Pro 13-inch","The First 30 Days","220","4","1.82"
"MacBook Pro 14-inch","After 3 Months","595","0","0.00"
"MacBook Pro 14-inch","The First 30 Days","186","2","1.08"
"MacBook Pro 16-inch","After 3 Months","6212","147","2.37"
"MacBook Pro 16-inch","The First 30 Days","219","8","3.65"
"Magic Keyboard","After 3 Months","10055","228","2.27"
"Magic Keyboard","The First 30 Days","199","8","4.02"
"Magic Keyboard with Touch ID","After 3 Months","3218","72","2.24"
"Magic Keyboard with Touch ID","The First 30 Days","209","8","3.83"
"Magic Mouse","After 3 Months","2301","47","2.04"
"Magic Mouse","The First 30 Days","204","3","1.47"
"Magic Trackpad","After 3 Months","531","4","0.75"
"Magic Trackpad","The First 30 Days","195","3","1.54"
"MagSafe Battery Pack","After 3 Months","10472","258","2.46"
"MagSafe Battery Pack","The First 30 Days","189","5","2.65"
"MagSafe Charger","After 3 Months","897","6","0.67"
"MagSafe Charger","The First 30 Days","242","9","3.72"
"Silicone Case for iPhone","After 3 Months","6169","125","2.03"
"Silicone Case for iPhone","The First 30 Days","186","5","2.69"
"Smart Cover for iPad","After 3 Months","3819","92","2.41"
"Smart Cover for iPad","The First 30 Days","207","5","2.42"
"Smart Keyboard Folio","After 3 Months","10538","243","2.31"
"Smart Keyboard Folio","The First 30 Days","184","6","3.26"
